1,-274.716636287
2,-321.527025948
3,-198.717099405
4,-360.210957908
5,1.58619873395
6,-98.5154567547
7,-121.969013849
8,-86.0885088056
9,84.0204272609
10,-22.4035815164
11,-3855.07095767
12,-1122.21956425
13,-212.855294148
14,8.74667354253
15,15.9038625877
16,-89.311906276
17,-27.7836428296
18,-4.70358017254
19,-25.7769600447
20,-97.7666068203
21,-39.7682152976
22,-20.5961085029
23,-4.80865853801
24,62.3370354883
25,57.9100762639
26,-15.3759720393
27,-156.193990155
28,-17.7997713154
29,-68.1034487916
30,-130.675597321
31,-38.4618273463
32,-46.5212750441
33,-14.8030441374
34,-115.079051783
35,-91.5237921112
36,41.3260520269
37,-76.9129290163
38,-113.25453935
39,36.1152519233
40,-96.0705951542
41,42.9962685781
42,-65.99161501
43,38.7998209788
44,6.52847279268
45,24.6810491462
46,80.8704809369
47,-34.0715648128
48,-85.3923560654
49,22.0540941978
50,5.1368859502
51,76.5750324861
52,-21.735548298
53,-92.9360054734
54,-124.248592663
55,-63.0177949001
56,5.12781557448
57,11.9854990136
58,-45.0887129148
59,1.80172418615
60,-56.025824322
61,-21.9539539152
62,-137.067501734
63,12.0447180856
64,77.7075349503
65,-46.7235201025
66,-72.6556711554
67,59.5519548208
68,54.5603411541
69,1.13812206875
70,-48.702667621
71,5.84380779397
72,-111.659199753
73,-99.96134114
74,-42.6382577698
75,-38.6716173653
76,32.9422461734
77,-73.5155103937
78,5.79021106566
79,-25.7227193097
80,32.050458879
81,-55.3263226885
82,-30.6385103307
83,-51.0845312021
84,24.3264066284
85,-84.0202260694
86,-31.9450736533
87,84.8783716624
88,-28.9120153106
89,-18.3886627504
90,-107.010831815
91,2.86331733394
92,-23.6880873154
93,-24.1892221784
94,-71.2820668546
95,-41.1253689715
96,-93.0075992516
97,-37.0320573298
98,23.417194213
99,-108.5759048
100,3.11349856614
101,-79.6397462183
102,-41.4274170768
103,-12.9012261708
104,1.76375794989
105,-68.6339134961
106,-22.3696245079
107,-105.804165066
108,44.1802879778
109,-21.4569528155
110,34.6346670614
111,27.6554624998
112,37.6334917407
113,15.1449080117
114,18.5867542175
115,-53.9521678143
116,-82.2769265492
117,13.1487998272
118,16.0050633492
119,-57.6395427044
120,3.87719089584
121,-16.2769844583
122,-6.28710362118
123,-14.6180757025
124,112.021703058
125,34.9678616033
126,1.69007457526
127,-43.3483360967
128,-78.3790797318
129,-8.78091104815
130,7.3386480328
131,-7.74258736135
132,35.7628773289
133,-18.9045342364
134,-20.8425189091
135,-47.3698664143
136,31.9809883251
137,-63.0709150471
